Gender,Age,Annual_Income,Education_Level,Marital_Status,Employment_Type,Years_in_Current_Job,Credit_Score,Existing_Loan_Balance,Loan_Amount_Requested,Credit_Card_Inquiries,Payment_of_Previous_Dues,Approved
Male,41,392163,High School,Married,Self-Employed,2.0,549.0,161879,296607,1,Delayed,0
Male,31,254991,High School,Married,Salaried,,508.0,350942,64326,2,Delayed,0
Male,53,44357,Undergraduate,Single,Student,0.0,,24394,51648,1,Paid on Time,1
Male,22,939285,Undergraduate,Single,Salaried,2.0,687.0,12887,776901,0,Paid on Time,1
Male,28,360381,Graduate,Married,Salaried,1.0,795.0,320106,1325302,1,Paid on Time,1
Male,41,363978,Postgraduate,Divorced,Salaried,10.0,639.0,193068,462116,4,Paid on Time,1
Male,48,489341,Undergraduate,Single,Salaried,12.0,647.0,716375,239572,1,Paid on Time,1
Female,30,173791,Graduate,Married,Self-Employed,5.0,743.0,100811,229267,0,Paid on Time,1
Female,33,652207,Undergraduate,Single,Salaried,3.0,601.0,307647,555537,3,Paid on Time,1
Female,41,348436,Graduate,Single,Salaried,7.0,635.0,296028,95891,3,Paid on Time,1
Female,30,43448,Graduate,Single,Student,0.0,658.0,47568,19619,1,Delayed,0
Male,41,471989,Undergraduate,Married,Self-Employed,2.0,598.0,684277,589764,1,Delayed,0
Female,43,611397,Undergraduate,Single,Salaried,12.0,698.0,63843,192104,1,Paid on Time,1
Male,19,386539,Undergraduate,Single,Salaried,0.0,662.0,243234,334255,2,Delayed,0
Female,33,697454,Undergraduate,Single,Salaried,,669.0,694326,454427,0,Paid on Time,1
Female,55,680677,High School,Married,Self-Employed,16.0,551.0,5073,259544,1,Delayed,1
Female,63,372714,Undergraduate,Single,Self-Employed,5.0,731.0,273404,1446919,2,Paid on Time,1
Female,18,440893,Undergraduate,Married,Salaried,0.0,818.0,533391,1462874,1,Paid on Time,1
Female,66,410434,Graduate,Single,Salaried,17.0,724.0,31319,467921,3,Paid on Time,1
Male,28,346250,Graduate,Divorced,Salaried,6.0,574.0,176871,415290,3,Delayed,0
Male,68,406190,Graduate,Married,Salaried,7.0,493.0,32569,44268,1,Delayed,0
Female,52,1646342,Undergraduate,Married,Self-Employed,6.0,637.0,1768874,804389,1,Delayed,1
Male,60,547900,Postgraduate,Single,Salaried,20.0,709.0,243036,285561,2,Paid on Time,1
Female,46,563809,Graduate,Single,Salaried,6.0,581.0,208271,391122,1,Paid on Time,1
Female,54,418344,Graduate,Married,Salaried,0.0,617.0,72480,415448,2,Paid on Time,1
Male,34,682237,Graduate,Single,Salaried,9.0,762.0,1019138,524034,3,Paid on Time,1
Female,56,486707,Graduate,Divorced,Salaried,31.0,491.0,45912,211573,2,Paid on Time,1
Female,59,53885,High School,Single,Student,0.0,681.0,3896,35013,5,Paid on Time,1
Female,45,574677,Undergraduate,Single,Self-Employed,9.0,543.0,65972,564957,1,Paid on Time,1
Female,46,608785,Graduate,Married,Salaried,0.0,734.0,116844,798624,2,Paid on Time,1
Male,60,371467,Postgraduate,Divorced,Self-Employed,26.0,726.0,117984,908556,0,Paid on Time,1
Female,20,1118224,Postgraduate,Married,Self-Employed,0.0,646.0,1241941,658578,1,Delayed,0
Female,69,843868,Undergraduate,Married,Salaried,,679.0,707188,389027,2,Paid on Time,1
Male,27,789171,Graduate,Married,Salaried,0.0,558.0,919375,1023609,1,Delayed,0
Male,59,472415,Undergraduate,Single,Salaried,13.0,734.0,14043,752841,3,Paid on Time,1
Female,31,516070,Graduate,Single,Salaried,5.0,689.0,205227,715130,4,Delayed,0
Male,29,988354,Postgraduate,Married,Self-Employed,5.0,645.0,601204,521657,3,Paid on Time,1
Female,64,380797,Undergraduate,Single,Salaried,10.0,572.0,245050,327493,1,Delayed,0
Female,59,19817,Undergraduate,Single,Student,0.0,659.0,1592,10000,3,Paid on Time,1
Male,47,245671,Graduate,Single,Self-Employed,3.0,612.0,188498,258539,3,Paid on Time,1
Female,49,199980,Graduate,Single,Salaried,21.0,729.0,85978,640404,0,Paid on Time,1
Female,49,882783,Graduate,Married,Self-Employed,13.0,814.0,253543,3000000,1,Paid on Time,1
Male,59,1460679,High School,Married,Salaried,23.0,716.0,1470527,3000000,1,Paid on Time,1
Male,49,338502,Graduate,Single,Salaried,15.0,614.0,42574,181954,1,Delayed,1
Male,43,562260,Graduate,Married,Self-Employed,5.0,795.0,731225,1276752,3,Paid on Time,1
Male,68,308268,High School,Married,Salaried,1.0,609.0,416081,286264,1,Paid on Time,1
Female,18,611579,Undergraduate,Single,Salaried,0.0,678.0,298636,109778,1,Paid on Time,1
Male,59,566391,Postgraduate,Divorced,Self-Employed,16.0,608.0,838456,114252,3,Paid on Time,1
Female,19,31519,Graduate,Single,Student,0.0,652.0,18971,17528,1,Paid on Time,1
Male,34,1130815,Undergraduate,Married,Salaried,1.0,476.0,217640,1291609,1,Delayed,0
Male,47,288034,Graduate,Married,Salaried,2.0,529.0,426381,143944,1,Paid on Time,1
Female,56,724291,Postgraduate,Single,Salaried,9.0,643.0,898385,958798,3,Paid on Time,1
Female,24,307743,Graduate,Married,Self-Employed,0.0,679.0,57623,308662,0,Delayed,0
Male,69,376907,Undergraduate,Married,Salaried,11.0,636.0,330407,284713,2,Paid on Time,1
Male,44,46845,Postgraduate,Married,Student,0.0,736.0,51430,103442,1,Paid on Time,0
Male,26,502983,Undergraduate,Single,Self-Employed,0.0,437.0,7792,283682,1,Paid on Time,1
Male,39,224585,Undergraduate,Married,Self-Employed,4.0,697.0,301047,328676,2,Paid on Time,1
Female,51,41807,Graduate,Married,Student,0.0,782.0,53417,32869,2,Paid on Time,1
Male,63,30253,Graduate,Married,Student,0.0,727.0,42377,104540,0,Paid on Time,0
Male,66,449017,Undergraduate,Married,Salaried,12.0,716.0,346391,1232456,3,Paid on Time,1
Male,18,1629887,Undergraduate,Married,Salaried,0.0,,792869,3000000,0,Delayed,1
Female,26,631414,High School,Single,Self-Employed,1.0,529.0,479569,801981,1,Paid on Time,1
Female,37,15000,Postgraduate,Single,Unemployed,0.0,528.0,16410,10000,0,Paid on Time,0
Male,70,469683,Undergraduate,Married,Self-Employed,34.0,618.0,293226,504075,1,Paid on Time,1
Female,36,675396,High School,Married,Salaried,4.0,639.0,356368,801545,2,Paid on Time,1
Male,53,419907,Graduate,Married,Self-Employed,3.0,668.0,48534,620815,2,Paid on Time,1
Male,57,577739,Undergraduate,Married,Salaried,6.0,529.0,387578,662425,0,Delayed,0
Female,62,17109,Graduate,Married,Unemployed,0.0,623.0,10082,24507,1,Paid on Time,0
Female,21,295167,Graduate,Married,Salaried,0.0,746.0,293672,1007688,3,Paid on Time,1
Female,26,40753,Postgraduate,Married,Student,0.0,614.0,26820,54036,3,Paid on Time,0
Female,58,242405,Undergraduate,Divorced,Salaried,21.0,490.0,195,335413,5,Paid on Time,1
Male,39,44455,Undergraduate,Married,Student,0.0,492.0,4306,37503,2,Delayed,0
Female,35,710256,Undergraduate,Divorced,Salaried,2.0,749.0,824303,2040549,2,Paid on Time,1
Male,29,1100603,Undergraduate,Married,Self-Employed,0.0,797.0,1560607,642135,2,Paid on Time,1
Female,59,15000,Graduate,Married,Unemployed,0.0,572.0,4341,10000,0,Delayed,0
Male,60,249686,Undergraduate,Single,Self-Employed,27.0,735.0,158251,881311,1,Paid on Time,1
Female,56,215418,Undergraduate,Married,Self-Employed,16.0,712.0,273837,842921,2,Paid on Time,1
Male,26,300020,Postgraduate,Married,Salaried,4.0,507.0,19282,76906,2,Paid on Time,1
Male,23,724711,Graduate,Divorced,Salaried,0.0,700.0,380359,667154,1,Paid on Time,1
Female,36,38133,Graduate,Single,Student,0.0,719.0,33809,113061,1,Paid on Time,0
Male,65,517478,Undergraduate,Married,Salaried,16.0,621.0,265866,425631,4,Delayed,0
Male,64,2292333,Postgraduate,Married,Self-Employed,17.0,609.0,1682754,976870,1,Paid on Time,1
Male,24,488267,Undergraduate,Divorced,Self-Employed,2.0,672.0,687802,77344,1,Paid on Time,1
Male,33,457329,Postgraduate,Single,Salaried,3.0,571.0,16413,654939,3,Paid on Time,1
Male,22,270808,High School,Married,Salaried,2.0,766.0,31649,277208,3,Delayed,1
Male,33,239408,High School,Married,Salaried,10.0,648.0,70731,124192,1,Paid on Time,1
Female,18,297224,Postgraduate,Single,Salaried,0.0,606.0,171601,297194,0,Paid on Time,1
Male,68,59216,Postgraduate,Married,Student,0.0,635.0,41817,41455,2,Paid on Time,1
Female,54,736387,Graduate,Married,Self-Employed,10.0,749.0,40506,1289801,0,Paid on Time,1
Female,56,162919,Postgraduate,Single,Salaried,14.0,635.0,215680,35132,2,Paid on Time,1
Male,36,321795,Undergraduate,Married,Salaried,10.0,604.0,366165,479033,6,Delayed,0
Female,54,464199,High School,Single,Self-Employed,23.0,491.0,24882,231247,4,Delayed,0
Male,34,391749,Graduate,Divorced,Salaried,2.0,667.0,150883,99514,1,Paid on Time,1
Female,43,397284,Undergraduate,Single,Salaried,5.0,621.0,15247,418816,2,Delayed,0
Male,39,441740,Undergraduate,Married,Salaried,13.0,530.0,264468,509365,1,Delayed,0
Male,25,45202,Undergraduate,Married,Student,0.0,693.0,17254,10000,2,Paid on Time,1
Female,50,227409,Graduate,Married,Salaried,28.0,540.0,210951,108462,3,Delayed,0
Female,19,644521,Undergraduate,Married,Salaried,0.0,585.0,529683,239834,3,Delayed,0
Female,47,15000,Postgraduate,Married,Unemployed,0.0,696.0,21535,18063,0,Paid on Time,0
Male,64,1340262,Undergraduate,Married,Salaried,14.0,696.0,1598752,478815,4,Paid on Time,1
Female,37,37081,Graduate,Married,Student,0.0,657.0,4497,15919,0,Paid on Time,1
Male,35,621476,Postgraduate,Married,Salaried,4.0,622.0,656546,920758,1,Paid on Time,1
Male,60,222111,Graduate,Married,Salaried,18.0,602.0,35687,240536,1,Delayed,0
Male,27,248290,Graduate,Single,Salaried,2.0,562.0,120329,159581,0,Delayed,0
Female,41,259448,Undergraduate,Single,Salaried,6.0,621.0,215997,299766,2,Delayed,0
Male,21,277370,Postgraduate,Married,Salaried,0.0,755.0,206245,532342,1,Paid on Time,1
Male,54,305157,Undergraduate,Single,Salaried,10.0,539.0,317363,121371,0,Paid on Time,1
Female,21,672996,Undergraduate,Single,Salaried,0.0,391.0,109029,527064,0,Delayed,0
Male,30,1294636,Graduate,Married,Salaried,2.0,575.0,1610628,1528750,1,Delayed,0
Male,42,427293,Undergraduate,Married,Self-Employed,5.0,802.0,37388,339918,0,Paid on Time,1
Male,30,1532952,Graduate,Single,Self-Employed,5.0,610.0,1475440,1195312,3,Paid on Time,1
Female,35,20518,High School,Married,Student,0.0,651.0,29588,10000,0,Delayed,0
Male,41,206856,Postgraduate,Married,Salaried,1.0,657.0,234270,264724,2,Paid on Time,1
Male,19,20936,Undergraduate,Divorced,Student,0.0,581.0,16327,26093,1,Delayed,0
Female,65,943539,Undergraduate,Married,Salaried,16.0,785.0,1413241,2572537,4,Paid on Time,1
Female,50,505773,Postgraduate,Single,Salaried,17.0,626.0,33367,702028,1,Delayed,0
Male,36,544373,Undergraduate,Married,Salaried,5.0,757.0,71982,903552,4,Paid on Time,1
Female,26,228158,Graduate,Married,Self-Employed,4.0,655.0,262886,64971,4,Paid on Time,1
Female,45,57440,Graduate,Married,Student,0.0,659.0,47366,84200,1,Paid on Time,1
Female,52,718235,Undergraduate,Single,Self-Employed,7.0,546.0,134048,587735,3,Delayed,0
Male,56,445972,High School,Married,Salaried,9.0,752.0,251068,871656,2,Paid on Time,1
Female,27,593466,Graduate,Married,Self-Employed,1.0,631.0,57229,112291,2,Paid on Time,1
Male,18,294018,Graduate,Divorced,Salaried,0.0,,232165,264183,1,Paid on Time,1
Male,59,226323,Undergraduate,Married,Salaried,16.0,819.0,35329,591719,1,Paid on Time,1
Male,38,422798,Postgraduate,Married,Salaried,9.0,677.0,4375,322367,4,Delayed,1
Male,26,621598,Graduate,Married,Salaried,1.0,667.0,300627,854431,1,Paid on Time,1
Male,64,244079,Graduate,Single,Salaried,7.0,748.0,85623,731082,4,Paid on Time,1
Female,32,437191,Undergraduate,Married,Self-Employed,5.0,716.0,237458,109569,0,Paid on Time,1
Male,52,309236,Undergraduate,Married,Salaried,8.0,603.0,162560,265818,1,Paid on Time,1
Male,22,667640,Graduate,Married,Salaried,2.0,592.0,630932,995546,2,Paid on Time,1
Male,58,770157,Graduate,Married,Salaried,20.0,694.0,785577,292387,5,Paid on Time,1
Male,39,15000,Undergraduate,Single,Unemployed,0.0,594.0,2865,14460,2,Paid on Time,0
Female,58,629566,Undergraduate,Single,Salaried,23.0,654.0,461467,304013,2,Paid on Time,1
Male,40,349473,High School,Married,Salaried,1.0,524.0,466101,216700,1,Delayed,0
Male,24,249805,Undergraduate,Married,Salaried,1.0,818.0,55610,57748,0,Paid on Time,1
Male,40,272966,Graduate,Married,Self-Employed,16.0,586.0,395885,290185,1,Delayed,0
Male,61,359431,Undergraduate,Single,Salaried,6.0,709.0,10429,1109322,3,Delayed,0
Male,42,297921,Undergraduate,Married,Salaried,12.0,713.0,44561,927837,4,Delayed,0
Female,44,642448,Graduate,Married,Salaried,7.0,824.0,171126,2495985,1,Paid on Time,1
Female,58,438774,High School,Divorced,Salaried,11.0,681.0,309199,558571,1,Paid on Time,1
Male,23,311034,Postgraduate,Married,Salaried,1.0,610.0,139569,121504,0,Paid on Time,1
Female,51,218630,Graduate,Divorced,Self-Employed,9.0,646.0,137136,92432,1,Paid on Time,1
Female,26,37612,Graduate,Married,Student,0.0,563.0,53078,44201,2,Paid on Time,0
Female,66,36999,Graduate,Married,Student,0.0,782.0,18946,115804,2,Paid on Time,1
Male,50,508223,Graduate,Married,Self-Employed,10.0,618.0,646548,138368,2,Paid on Time,1
Male,68,458425,Undergraduate,Married,Salaried,8.0,825.0,50065,57700,1,Paid on Time,1
Male,23,182700,Undergraduate,Married,Self-Employed,1.0,584.0,222513,120935,2,Delayed,0
Female,54,445781,High School,Married,Self-Employed,5.0,850.0,602846,1252300,1,Paid on Time,1
Female,48,348865,Graduate,Divorced,Self-Employed,0.0,581.0,149139,458174,0,Delayed,0
Male,51,446496,Undergraduate,Married,Salaried,4.0,576.0,366416,147996,1,Paid on Time,1
Male,58,497701,High School,Single,Salaried,1.0,586.0,139725,617849,0,Delayed,0
Female,46,27220,Undergraduate,Single,Unemployed,0.0,583.0,3709,28805,1,Delayed,0
Female,31,18244,Graduate,Single,Unemployed,0.0,687.0,21082,10000,2,Paid on Time,1
Female,53,364019,Graduate,Single,Salaried,0.0,567.0,343905,481450,1,Paid on Time,1
Female,53,22876,Graduate,Married,Unemployed,0.0,535.0,25812,32167,1,Delayed,0
Male,70,1119193,High School,Married,Self-Employed,39.0,559.0,738140,528404,2,Paid on Time,1
Female,32,361697,High School,Married,Salaried,3.0,850.0,135422,245916,2,Delayed,1
Female,25,441248,High School,Married,Salaried,0.0,537.0,282520,641873,4,Delayed,0
Male,43,361892,Postgraduate,Married,Salaried,13.0,668.0,35170,47783,1,Paid on Time,1
Male,53,514747,Graduate,Married,Salaried,10.0,558.0,218916,734934,0,Delayed,0
Female,65,24953,High School,Divorced,Unemployed,0.0,696.0,11136,10048,5,Paid on Time,1
Male,38,831826,High School,Divorced,Salaried,10.0,665.0,891540,593410,1,Paid on Time,1
Female,45,218279,Graduate,Married,Self-Employed,2.0,816.0,17397,284324,1,Paid on Time,1
Female,21,183933,Graduate,Married,Self-Employed,0.0,605.0,67670,57974,1,Delayed,0
Female,33,867978,Undergraduate,Married,Salaried,4.0,692.0,360137,515116,3,Delayed,1
Male,39,322336,Graduate,Married,Salaried,8.0,754.0,266585,710127,1,Paid on Time,1
Male,29,1777269,Graduate,Married,Self-Employed,2.0,613.0,652331,411184,3,Delayed,1
Female,33,618957,High School,Divorced,Salaried,4.0,671.0,122951,763080,0,Paid on Time,1
Male,68,1231417,High School,Married,Self-Employed,18.0,499.0,63536,1502986,1,Paid on Time,1
Female,57,404963,Graduate,Married,Salaried,10.0,694.0,256270,492627,3,Paid on Time,1
Female,55,879965,Undergraduate,Married,Salaried,28.0,668.0,693601,933667,1,Paid on Time,1
Male,59,528537,Postgraduate,Divorced,Salaried,15.0,574.0,28992,389725,5,Paid on Time,1
Male,54,389867,Undergraduate,Divorced,Salaried,7.0,526.0,181177,494044,4,Paid on Time,1
Male,46,588118,Graduate,Single,Salaried,9.0,622.0,674131,760194,1,Delayed,0
Male,35,29580,Postgraduate,Married,Unemployed,0.0,531.0,26516,14779,2,Delayed,0
Female,27,458929,High School,Married,Salaried,1.0,659.0,313934,354903,1,Delayed,1
Female,59,16163,High School,Married,Student,0.0,711.0,10982,14410,1,Paid on Time,1
Female,56,15000,Graduate,Married,Unemployed,0.0,474.0,1106,10000,3,Delayed,0
Female,35,38217,Graduate,Single,Student,0.0,565.0,19607,16606,0,Delayed,0
Male,18,328763,High School,Married,Salaried,0.0,810.0,197571,1093167,0,Paid on Time,1
Female,56,402269,Graduate,Married,Self-Employed,20.0,711.0,524482,433718,0,Paid on Time,1
Female,38,382881,Postgraduate,Single,Salaried,,508.0,269259,331130,2,Paid on Time,1
Female,18,664180,Graduate,Married,Salaried,0.0,600.0,666775,650593,1,Paid on Time,1
Female,32,48108,Graduate,Single,Student,0.0,469.0,7772,54966,1,Delayed,0
Male,21,231209,Undergraduate,Married,Salaried,0.0,764.0,149811,49277,1,Paid on Time,1
Female,37,15000,Graduate,Married,Unemployed,0.0,648.0,18881,11490,2,Paid on Time,0
Male,27,1536328,High School,Married,Self-Employed,0.0,663.0,2000000,782992,2,Paid on Time,1
Male,40,688504,Graduate,Divorced,Salaried,5.0,769.0,520675,2308208,0,Paid on Time,1
Male,58,253160,High School,Married,Salaried,13.0,,152938,38340,1,Paid on Time,1
Female,51,2276193,High School,Married,Self-Employed,13.0,677.0,2000000,887241,3,Paid on Time,1
Female,63,1084388,Graduate,Married,Salaried,20.0,758.0,1055928,1443818,1,Paid on Time,1
Female,65,782429,Postgraduate,Single,Self-Employed,18.0,568.0,719672,163510,2,Paid on Time,1
Female,50,314239,Graduate,Single,Salaried,7.0,525.0,417682,205381,0,Delayed,0
Female,51,652781,Postgraduate,Married,Salaried,18.0,829.0,635927,1958797,1,Paid on Time,1
Female,56,360808,Undergraduate,Married,Salaried,13.0,576.0,347229,143327,2,Delayed,0
Male,27,732127,Graduate,Divorced,Salaried,2.0,413.0,30295,846526,0,Delayed,0
Male,37,1019691,Undergraduate,Single,Salaried,8.0,577.0,1052669,857172,0,Paid on Time,1
Male,18,287001,Undergraduate,Single,Salaried,0.0,582.0,393046,167210,0,Delayed,0
Female,30,693693,High School,Married,Salaried,4.0,850.0,599706,1067138,2,Paid on Time,1
Female,18,811959,Graduate,Married,Self-Employed,0.0,705.0,1100252,449492,0,Paid on Time,1
Male,22,1173484,Undergraduate,Single,Self-Employed,1.0,628.0,597721,527708,1,Paid on Time,1
Male,33,330162,Graduate,Single,Salaried,8.0,581.0,21088,371007,0,Paid on Time,1
Female,32,231973,Postgraduate,Single,Self-Employed,11.0,718.0,154886,803718,1,Paid on Time,1
Male,66,1926271,Graduate,Married,Self-Employed,6.0,755.0,11433,2187922,1,Paid on Time,1
Female,45,335579,Undergraduate,Single,Salaried,3.0,699.0,77930,310120,1,Paid on Time,1
Female,48,343229,Graduate,Single,Salaried,2.0,742.0,98125,80807,1,Paid on Time,1
Male,40,1098057,Undergraduate,Divorced,Salaried,0.0,805.0,879272,441291,2,Paid on Time,1
Male,65,660673,Postgraduate,Married,Salaried,10.0,659.0,941389,958051,0,Delayed,0
Female,62,410882,Postgraduate,Single,Salaried,6.0,599.0,12214,556789,1,Delayed,0
Female,60,382503,Postgraduate,Single,Salaried,1.0,607.0,135801,81777,1,Paid on Time,1
Male,34,365037,Undergraduate,Divorced,Salaried,7.0,775.0,530829,1207206,1,Paid on Time,1
Female,66,41207,High School,Single,Student,0.0,722.0,54495,20593,1,Paid on Time,1
Male,51,588446,Undergraduate,Divorced,Salaried,6.0,664.0,736896,741386,1,Paid on Time,1
Male,30,466949,High School,Divorced,Self-Employed,4.0,595.0,64298,643876,2,Paid on Time,1
Female,31,457521,Undergraduate,Married,Self-Employed,5.0,569.0,442032,143807,2,Delayed,0
Female,28,445775,Undergraduate,Single,Salaried,1.0,650.0,135828,136463,0,Paid on Time,1
Male,45,19169,Graduate,Single,Student,0.0,550.0,18719,26782,2,Paid on Time,0
Female,59,536235,Undergraduate,Married,Salaried,8.0,,343885,279917,0,Paid on Time,1
Female,49,59134,Graduate,Married,Student,0.0,769.0,56384,114918,0,Paid on Time,1
Male,52,302400,High School,Married,Salaried,10.0,636.0,194531,159127,2,Paid on Time,1
Male,48,603780,Undergraduate,Single,Salaried,6.0,626.0,822080,693785,1,Paid on Time,1
Female,34,123458,High School,Married,Self-Employed,5.0,664.0,4686,48830,1,Paid on Time,1
Male,64,33083,Graduate,Single,Student,0.0,746.0,9506,67061,0,Paid on Time,1
Male,26,343265,Graduate,Single,Salaried,2.0,830.0,428908,1172870,3,Paid on Time,1
Male,27,302653,High School,Single,Self-Employed,8.0,534.0,334468,429678,3,Delayed,0
Female,25,404198,Graduate,Married,Self-Employed,3.0,770.0,112948,596462,0,Paid on Time,1
Female,38,274880,Undergraduate,Married,Salaried,10.0,730.0,50070,149667,0,Paid on Time,1
Female,30,298213,High School,Married,Salaried,2.0,526.0,139233,367863,0,Delayed,0
Male,67,433458,Undergraduate,Married,Salaried,36.0,552.0,313304,110553,3,Paid on Time,1
Female,22,466821,Graduate,Single,Salaried,0.0,745.0,32867,1465454,2,Paid on Time,1
Female,23,964550,High School,,Self-Employed,0.0,705.0,1223419,2688250,0,Paid on Time,1
Female,47,47154,Graduate,Married,Student,0.0,476.0,4913,42843,1,Delayed,0
Female,48,158362,High School,Single,Self-Employed,2.0,566.0,218416,224127,0,Delayed,0
Male,34,15000,Graduate,Married,Unemployed,0.0,703.0,7328,20360,1,Paid on Time,1
Female,28,185259,Undergraduate,Married,Salaried,4.0,742.0,13569,85957,0,Paid on Time,1
Male,37,1416338,Graduate,Single,Salaried,3.0,689.0,1851210,2088030,1,Delayed,0
Male,65,54069,Postgraduate,Married,Student,0.0,439.0,1617,38800,3,Delayed,0
Male,26,37540,Graduate,Single,Student,0.0,577.0,18900,26531,2,Paid on Time,1
Male,19,461421,Postgraduate,Single,Salaried,0.0,552.0,321384,103977,2,Paid on Time,1
Male,54,1139460,Undergraduate,Single,Salaried,10.0,719.0,840829,3000000,1,Paid on Time,1
Female,18,378313,Graduate,Married,Self-Employed,0.0,603.0,13324,419233,2,Paid on Time,1
Male,21,233815,Postgraduate,Married,Salaried,0.0,703.0,184740,155874,4,Paid on Time,1
Female,53,474222,Undergraduate,Married,Salaried,12.0,667.0,54795,202648,0,Paid on Time,1
Male,42,553333,Graduate,Divorced,Self-Employed,9.0,533.0,271277,68049,1,Paid on Time,1
Male,20,16205,Graduate,Married,Unemployed,0.0,738.0,23711,57850,1,Paid on Time,0
Female,26,699263,Undergraduate,Married,Self-Employed,1.0,766.0,294079,736785,1,Paid on Time,1
Male,39,523622,Graduate,Single,Self-Employed,13.0,743.0,638456,1945496,0,Paid on Time,1
Male,40,557971,Graduate,Single,Salaried,14.0,671.0,427114,501971,2,Paid on Time,1
Female,29,477420,Graduate,Single,Self-Employed,2.0,640.0,144955,332079,2,Paid on Time,1
Male,27,184346,Undergraduate,Divorced,Salaried,6.0,588.0,199629,20455,2,Delayed,0
Male,51,15000,Undergraduate,Married,Unemployed,0.0,776.0,12490,10000,2,Delayed,0
Male,60,978234,Graduate,Married,Salaried,28.0,811.0,782147,703221,2,Paid on Time,1
Female,27,126388,High School,Married,Self-Employed,2.0,584.0,5668,31341,2,Delayed,1
Female,47,30218,High School,Married,Student,0.0,541.0,15132,13860,1,Paid on Time,1
Female,39,362365,Graduate,Single,Salaried,3.0,545.0,399347,114659,1,Delayed,0
Female,23,15000,Graduate,Married,Unemployed,0.0,553.0,17911,15440,1,Delayed,0
Male,67,731920,High School,Single,Salaried,14.0,682.0,894560,377556,2,Paid on Time,1
Male,19,363037,Undergraduate,Married,Salaried,0.0,518.0,20362,401376,1,Delayed,0
Female,47,736781,Graduate,Married,Salaried,10.0,593.0,179823,213437,2,Delayed,1
Male,19,55229,Undergraduate,Single,Student,0.0,596.0,81648,21691,0,Delayed,0
Male,49,42955,Postgraduate,Married,Student,0.0,667.0,10015,51650,4,Paid on Time,1
Male,59,451364,Graduate,Single,Salaried,13.0,629.0,144221,445815,1,Paid on Time,1
Male,33,499234,Postgraduate,Divorced,Salaried,0.0,694.0,601046,117332,1,Delayed,0
Female,29,51460,Postgraduate,Single,Student,0.0,638.0,30369,74266,2,Paid on Time,0
Male,18,428536,Undergraduate,Married,Salaried,0.0,670.0,74768,500336,0,Paid on Time,1
Male,70,685343,High School,Divorced,Self-Employed,27.0,843.0,128598,1545665,1,Delayed,1
Male,25,282351,Graduate,Married,Self-Employed,1.0,663.0,35481,163784,1,Paid on Time,1
Female,65,44968,Undergraduate,Single,Student,0.0,676.0,12186,10410,2,Paid on Time,1
Male,67,263001,Undergraduate,Married,Salaried,2.0,850.0,196060,393709,0,Paid on Time,1
Male,30,624528,Undergraduate,Married,Salaried,3.0,634.0,14121,344884,1,Paid on Time,1
Female,32,19386,Graduate,Divorced,Unemployed,,796.0,3406,10000,1,Paid on Time,1
Female,70,396966,Graduate,Married,Salaried,25.0,772.0,540145,1253085,0,Paid on Time,1
Male,61,738751,Graduate,Single,Salaried,20.0,556.0,971363,503436,1,Delayed,0
Male,25,840167,Graduate,Married,Salaried,2.0,664.0,1049889,1130294,1,Delayed,0
Male,27,27727,Graduate,Single,Unemployed,0.0,713.0,29374,19854,0,Paid on Time,1
Male,63,1087947,Postgraduate,Divorced,Self-Employed,16.0,744.0,1079550,1456252,3,Paid on Time,1
Male,22,119688,Graduate,Married,Salaried,2.0,571.0,49463,58725,0,Delayed,0
Male,67,357536,Undergraduate,Single,Self-Employed,13.0,570.0,179658,468810,2,Delayed,0
Male,36,268584,Graduate,Single,Salaried,,738.0,94999,558697,1,Paid on Time,1
Male,64,15000,Graduate,Divorced,Unemployed,0.0,548.0,22057,10000,1,Paid on Time,0
Female,55,492565,Graduate,Married,Salaried,13.0,617.0,468654,295748,1,Paid on Time,1
Female,28,2062849,Graduate,Single,Self-Employed,6.0,507.0,2000000,2930185,1,Delayed,0
Female,70,270995,Undergraduate,Married,Self-Employed,7.0,566.0,110479,236329,1,Paid on Time,1
Male,60,328411,Graduate,Married,Salaried,37.0,625.0,306017,49730,0,Paid on Time,1
Male,37,36015,High School,Married,Student,0.0,635.0,41000,10000,1,Delayed,0
Female,37,198180,High School,Single,Salaried,5.0,664.0,28163,85208,0,Delayed,1
Male,38,139995,Undergraduate,Divorced,Self-Employed,3.0,636.0,140056,135774,2,Paid on Time,1
Male,35,221509,Postgraduate,Married,Self-Employed,1.0,740.0,56176,234027,4,Paid on Time,1
Female,67,482939,Graduate,Single,Self-Employed,9.0,774.0,237665,1649452,0,Paid on Time,1
Female,27,668183,Undergraduate,Single,Salaried,1.0,580.0,717781,655614,0,Delayed,0
Female,51,26833,Postgraduate,Married,Unemployed,0.0,482.0,2361,13980,0,Delayed,0
Male,43,368339,Graduate,Divorced,Salaried,8.0,691.0,508949,239976,4,Paid on Time,1
Male,47,692124,Graduate,Married,Self-Employed,13.0,752.0,250412,1082139,0,Paid on Time,1
Female,26,1892859,Graduate,Married,Self-Employed,2.0,572.0,436629,1021873,3,Delayed,1
Male,63,29134,Undergraduate,Married,Student,0.0,619.0,14734,28604,4,Paid on Time,0
Female,68,784599,Undergraduate,Divorced,Self-Employed,13.0,746.0,1002627,695570,3,Paid on Time,1
Female,48,545205,Graduate,Divorced,Salaried,14.0,760.0,693030,675634,0,Paid on Time,1
